Date,Product,Units Sold,Sales
2023-01-01,Headphones,7,502
2023-01-02,Smartwatch,9,1469
2023-01-03,Tablet,8,1634
2023-01-04,Smartwatch,12,246
2023-01-05,Smartwatch,2,1271
2023-01-06,Phone,1,963
2023-01-07,Tablet,16,1834
2023-01-08,Tablet,5,1943
2023-01-09,Tablet,3,588
2023-01-10,Smartwatch,12,1028
2023-01-11,Headphones,8,1763
2023-01-12,Tablet,3,650
2023-01-13,Smartwatch,1,437
2023-01-14,Phone,3,971
2023-01-15,Headphones,5,740
2023-01-16,Phone,15,1902
2023-01-17,Headphones,14,572
2023-01-18,Smartwatch,3,250
2023-01-19,Laptop,1,1538
2023-01-20,Headphones,5,1421
2023-01-21,Phone,14,1734
2023-01-22,Smartwatch,7,362
2023-01-23,Headphones,9,1887
2023-01-24,Laptop,15,243
2023-01-25,Laptop,15,445
2023-01-26,Tablet,10,723
2023-01-27,Tablet,13,1116
2023-01-28,Phone,19,1695
2023-01-29,Headphones,7,980
2023-01-30,Headphones,17,101
2023-01-31,Tablet,4,996
2023-02-01,Headphones,5,1427
2023-02-02,Headphones,7,353
2023-02-03,Laptop,13,1775
2023-02-04,Tablet,15,552
2023-02-05,Smartwatch,11,1160
2023-02-06,Tablet,4,1283
2023-02-07,Smartwatch,13,1114
2023-02-08,Laptop,7,108
2023-02-09,Phone,19,1356
2023-02-10,Headphones,2,1222
2023-02-11,Laptop,10,1782
2023-02-12,Headphones,13,915
2023-02-13,Phone,6,307
2023-02-14,Phone,12,1254
2023-02-15,Laptop,12,503
2023-02-16,Phone,11,251
2023-02-17,Smartwatch,7,153
2023-02-18,Phone,1,1243
2023-02-19,Headphones,1,1796
2023-02-20,Headphones,13,727
2023-02-21,Headphones,9,686
2023-02-22,Headphones,3,1748
2023-02-23,Smartwatch,7,1543
2023-02-24,Tablet,6,1545
2023-02-25,Laptop,8,203
2023-02-26,Headphones,9,1975
2023-02-27,Phone,5,353
2023-02-28,Headphones,1,1350
2023-03-01,Phone,19,1235
2023-03-02,Phone,10,609
2023-03-03,Headphones,12,1596
2023-03-04,Smartwatch,15,198
2023-03-05,Phone,9,252
2023-03-06,Phone,17,1984
2023-03-07,Headphones,17,1013
2023-03-08,Phone,12,977
2023-03-09,Phone,7,437
2023-03-10,Headphones,2,1829
2023-03-11,Headphones,3,921
2023-03-12,Laptop,17,1286
2023-03-13,Smartwatch,5,1843
2023-03-14,Smartwatch,17,1056
2023-03-15,Phone,17,1804
2023-03-16,Smartwatch,17,260
2023-03-17,Phone,2,1703
2023-03-18,Laptop,2,900
2023-03-19,Headphones,5,497
2023-03-20,Headphones,1,1400
2023-03-21,Headphones,1,915
2023-03-22,Smartwatch,19,1627
2023-03-23,Laptop,2,1515
2023-03-24,Smartwatch,12,1258
2023-03-25,Smartwatch,6,1318
2023-03-26,Laptop,4,500
2023-03-27,Laptop,11,739
2023-03-28,Laptop,17,1156
2023-03-29,Laptop,6,787
2023-03-30,Headphones,5,559
2023-03-31,Tablet,2,1054
2023-04-01,Tablet,6,569
2023-04-02,Laptop,11,1498
2023-04-03,Tablet,16,1145
2023-04-04,Tablet,16,849
2023-04-05,Laptop,1,1793
2023-04-06,Tablet,9,137
2023-04-07,Smartwatch,6,329
2023-04-08,Phone,16,1488
2023-04-09,Phone,3,662
2023-04-10,Laptop,4,537
